title,link
Sumer Application Video for YC S22,https://www.youtube.com/watch?v=2ISHGyuyhXM
YCombinator Application video,https://www.youtube.com/shorts/V0fzoN4Lrms
FinQuest AI  YC W23 Application Video,https://www.youtube.com/watch?v=e6hNkK6gb4U
Y combinator application summer 2018 Sharewood,https://www.youtube.com/watch?v=fHlD1DjBqcU
SInC Benefits - Y Combinator Video Application (S18),https://www.youtube.com/watch?v=9-64VAWVc4Y
Zenefits (YC W2013) Application Video,https://www.youtube.com/watch?v=-S83fysRwn4
Trection - YC Application Video - Summer 2020,https://www.youtube.com/watch?v=aTOSAUAPueQ
HubSeq (YC Summer 2022 - Selected for Interview) Application Video,https://www.youtube.com/watch?v=e0MgUyCkzcs
YC Winter Application 2022 Video,https://www.youtube.com/watch?v=V85HzjyOYdc
Thalassa (YC W19) Application Video,https://www.youtube.com/watch?v=WwdOO3Pzbgc
Remade Founder Video - YC S24 Application (Accepted!),https://www.youtube.com/watch?v=q_HIpz3pVRc
DRYVA YC (S22) Application Video,https://www.youtube.com/watch?v=08RU-UgCIIE
PriLyfe (YC S2023) Application Video,https://www.youtube.com/watch?v=sXX_EOULYbA
Marketrix AI - YC F24 Application Video - Irosha and Yasith,https://www.youtube.com/watch?v=TSGLaUS5_-s
Adlish YC (W2023) Application Video,https://www.youtube.com/watch?v=bo8pWgWdQ6E
Overmap (YC F24) Application Video,https://www.youtube.com/watch?v=_r9IgkiEEAY
Yugeneration.org (YC W2017) Application Video,https://www.youtube.com/watch?v=2StgOFsJbSM
Shoplee (YC W2019) Application Video,https://www.youtube.com/watch?v=xnFYz24tVuk
Partum YC Winter 2022 Video Application,https://www.youtube.com/watch?v=_sbIH2nqL9g
YC S22 - SoBu Application Video,https://www.youtube.com/shorts/rTIN43JYUW0
Squirrel (YC S2020) Application Video,https://www.youtube.com/watch?v=StwNidAN0rA
GuestTo YC Application Video - Winter 2023,https://www.youtube.com/watch?v=o1on2stEXyI
AfterrHome YCombinator Winter Batch 2021 Application Video,https://www.youtube.com/watch?v=SrYBOmngUTk
Cactus (YC S25) Application Video,https://www.youtube.com/watch?v=qcyEywNAD4o
Swasthu-Y combinator application video-winter 2022,https://www.youtube.com/watch?v=bgBp1XabaN4
Triplings | YC S23 - Application Video,https://www.youtube.com/watch?v=V4DPwyzD_gY
YC Application Video - Summer 2022,https://www.youtube.com/watch?v=2nVpfX4q1Qw
SendMe Y Combinator W22 Application Video,https://www.youtube.com/watch?v=ClctbYyZ0h8
YC Application Video!,https://www.youtube.com/watch?v=F4y5seOEfrQ
Saturnup YC Winter 2016 Application,https://www.youtube.com/watch?v=8zjMvvKu8mI
RiskBazaar YC S2016 Application Video,https://www.youtube.com/watch?v=ilj4VkV-AZY
Teach A Class (YC W2019) Application Video,https://www.youtube.com/watch?v=0a8HHNbCSaE
UPNATION YC Summer 2021 Application Video,https://www.youtube.com/watch?v=sxQQIPwO914
SMAQ (YC W25) Application Video,https://www.youtube.com/watch?v=m1eE6K1LXbM
Coshopr's YC application video,https://www.youtube.com/watch?v=VFIpt26qjh0
Y Combinator Application Video (Pollinate) S23,https://www.youtube.com/watch?v=WpV-598ozts
Nawa Palia (YC application summer 2018),https://www.youtube.com/watch?v=M89kJoLnsgc
Tradelert - Y Combinator Winter 2020 Application Video,https://www.youtube.com/watch?v=jVOc26Tfzdw
YC Application Video,https://www.youtube.com/watch?v=n-8pK7uWYlM
YC Application Video for Nesst.pro - Spring 2025,https://www.youtube.com/watch?v=uA14MoXDxqw
Fotonicia Y Combinator Summer 2019 Application Video,https://www.youtube.com/watch?v=sy9fBwVHbnM
Globio Application Video for YC W24,https://www.youtube.com/watch?v=MMWzRMmCYWc
YC W21 Application video,https://www.youtube.com/watch?v=QcFgzYCI7aA
YCombinator Application video winter 2021,https://www.youtube.com/watch?v=qURo6HirVU0
Cyder (YC W2022) Application Video,https://www.youtube.com/watch?v=F65Rt94K3C0
YCombinator Summer 2019 Application,https://www.youtube.com/watch?v=aMb6c9l5ngI
SelectricGo YC W23 Application video,https://www.youtube.com/watch?v=7cj-Woe8PjE
YCombinator (Winter 2020) Video Application,https://www.youtube.com/watch?v=Zc7kyUVqiFY
Vikrant Academy (YC Winter 2022) Application Video,https://www.youtube.com/watch?v=nxBdCu4dibQ
YC Summer 2022 Application Video - Determinant Materials,https://www.youtube.com/watch?v=jUh6yHmP9Ao
Benchmark (YC W2019) Application Video,https://www.youtube.com/watch?v=dgEmPMzCPGo
AirGen.io YC W25 Application,https://www.youtube.com/watch?v=RJsPYnx4av4
Y Combinator 2021 Application Video for Minim,https://www.youtube.com/watch?v=653YKbXulVc
projectMY Y Combinator Application,https://www.youtube.com/watch?v=68i3n10Ourk
Clipido's YC Application W24 — Founder video (update: No interview),https://www.youtube.com/watch?v=m9dgMBiT5tw
(Not Accepted) Meaningful (YC S24) Application Video,https://www.youtube.com/watch?v=kjyhmO4U5n4
Y Combinator Winter 2019 application video,https://www.youtube.com/watch?v=nmKmWIkTiiM
Infra School (YC S21) Application Video,https://www.youtube.com/watch?v=VPgGEpLGeIk
Y Combinator Winter 2018 application,https://www.youtube.com/watch?v=LSwclxWoRCU
YC Video Application - GW (S20),https://www.youtube.com/watch?v=RwMF5QbZxIA
YC Summer 2022 _ Ceremony _ Application video,https://www.youtube.com/watch?v=KKwkzwU97wk
Strinx (YC W25) Application Video,https://www.youtube.com/watch?v=T_D25Cor26M
YC application video.,https://www.youtube.com/watch?v=f6Qgu2TFN40
Frantic YC Application Video S24,https://www.youtube.com/watch?v=rxOcnSodgOw
CVNova YC application video,https://www.youtube.com/watch?v=ATdkqi_rN60
Obvious (YC W24) Application Video,https://www.youtube.com/watch?v=gmCkNdMsCgg
StartUp Ycombinator Application Video,https://www.youtube.com/watch?v=3A8FQVp7rbc
YoteMeals - YC S20 Application Video,https://www.youtube.com/watch?v=SDDl7OLR1EY
Y Combinator Application Video,https://www.youtube.com/watch?v=TZoprxGzzMM
Setter AI's YC Fall 24 Application Video,https://www.youtube.com/watch?v=grIwnpFZu4k
Snowball (YC W20) Application Video,https://www.youtube.com/watch?v=nhLKMaPb0q0
Meme Party (YC S2020) Application Video,https://www.youtube.com/watch?v=e8AP6laj3Ew
PathMe - Application Video YC (Batch S20),https://www.youtube.com/watch?v=vBWoe2cTM3U
YC Winter 2020 Video Application,https://www.youtube.com/watch?v=LYCdMgBsGsk
YC Application Video 2016,https://www.youtube.com/watch?v=w59tbi6KWCY
CarbonSEQ (YC S22) Application Video,https://www.youtube.com/watch?v=FgRitpzsWmQ
Unhoused Humanity (YC W2016) Application Video,https://www.youtube.com/watch?v=1LQQL9Y1OKc
KiddoAI (YC S23) Application Video,https://www.youtube.com/watch?v=M24g6dkdY_4
Leadr YC W19 Application Video,https://www.youtube.com/watch?v=nDVyU-Hy2S0
EZConnects Application Video for YC S21,https://www.youtube.com/watch?v=EaZvsh7iBeE
Y Combinator Startup Application Video Accepted in 2016 (Indian Founders),https://www.youtube.com/watch?v=Krb96Gaun0o
Aljarya YC W2023 - YC Application video winter 2023,https://www.youtube.com/watch?v=sla_j_8RQwk
"YC, summer batch application video",https://www.youtube.com/watch?v=3GRB8XI-xio
"Y Combinator application - Youcanevent, Inc. Summer 2019",https://www.youtube.com/watch?v=miGsbMIS69A
Velo (YC F24) Application Video,https://www.youtube.com/watch?v=lfM-kwfGvsc
Envision Labs Application Video - YC S21,https://www.youtube.com/watch?v=ZZH5NOFlXX8
Karma Founders Introduction YC Winter 2020 Application,https://www.youtube.com/watch?v=tgAaV1IoRLc
advo (YC W21) Video Application,https://www.youtube.com/watch?v=Nm6XwMPbie0
OpenBar (YC S19) Application Video,https://www.youtube.com/watch?v=BG9DzfYJdE4
Rebellious Crops YC Application Video W23,https://www.youtube.com/watch?v=fJnfj40phUE
Dimension YC Application Video,https://www.youtube.com/watch?v=QaiUjBgI5AI
Y Combinator Application Video: Founder Chris Hill of Top Of The Hill,https://www.youtube.com/watch?v=8nKf5_lMTyA
TooGood (YC w2019) Application Video,https://www.youtube.com/watch?v=DD08wZDgYxg
Reach Best's Application Video for YC S22,https://www.youtube.com/watch?v=cvN3ZS5XROQ
Akrab - Y Combinator Winter 2019 Application Video,https://www.youtube.com/watch?v=CMo401aaNKo
Exonode YC S2021 Application Video,https://www.youtube.com/watch?v=HT-Go7AjvNQ
YC (W18) Application - SagePath,https://www.youtube.com/watch?v=HOFT9F46_yQ
MERV (YC S20) Application Video,https://www.youtube.com/watch?v=XDcjW5PORlI
YC Application Video,https://www.youtube.com/watch?v=nyydoimZYTI
Go4Spin YC Summer 2020 application video,https://www.youtube.com/watch?v=45Osx885AzI
Y Combinator Application Video,https://www.youtube.com/watch?v=nH4VoW4qg_g
KiteX YC Summer 2017 Application,https://www.youtube.com/watch?v=0_2CUAhhbmI
Y Combinator S18 - Founders Application Video,https://www.youtube.com/watch?v=IEb2vCNpC1Y
Rivia (YC W23) Application Video,https://www.youtube.com/watch?v=YkeaRXWn8jk
YC - Winter 2021 - Application video,https://www.youtube.com/watch?v=uPN69yfXJDY
CourseCopilot (YC S23) Application Video,https://www.youtube.com/watch?v=PCB6Rkv3--Y
YC Application Video,https://www.youtube.com/watch?v=61U6VR_6vJU
YC Application Video W19 - Bridge8,https://www.youtube.com/watch?v=nVJpas9_aUw
Ycombinator Application Video,https://www.youtube.com/watch?v=Fiu6w8LFyaI
Convo Automation (YC Winter 2020 application),https://www.youtube.com/watch?v=z39bo1Qx5Xk
Y Combinator Fellowship Application Video,https://www.youtube.com/watch?v=HL2W4chH2RU
YC Combinator Summer 2021 Application,https://www.youtube.com/watch?v=SCdfscvBCkA
Application for Y Combinator batch summer 2017,https://www.youtube.com/watch?v=_urxVn57NIU
AirCoWork YC Application Video 2020,https://www.youtube.com/watch?v=sRO_9WPotuM
Y Combinator Application Summer 2017 - Mind,https://www.youtube.com/watch?v=t9nLYFHfvBs
Shaka YC application video S21,https://www.youtube.com/watch?v=-f4RT4mS-ZQ
4zipcode (YC 2019) Application Video,https://www.youtube.com/watch?v=T2AAyFNl8ok
ClanJobs | Application Video | Y combinator Winter 2022,https://www.youtube.com/watch?v=pJEbtz3HECQ
Favors - Y Combinator Application Video Summer 2018,https://www.youtube.com/watch?v=Wao2su8eMto
Clearspace (YC W23) Application Video (Accepted),https://www.youtube.com/watch?v=dkOpG3kqmy4
Clique (YC W2017) Application Video,https://www.youtube.com/watch?v=JU6vQdpVf6o
Landket - YC Application video (Summer 2021),https://www.youtube.com/watch?v=nO3J-K_qM9c
Infiboard's Video for YC Application (YC Summer 2021),https://www.youtube.com/watch?v=t4luMUEA_wo
YC Application S20,https://www.youtube.com/shorts/xxbVouGbvPk
YC Application Summer 2016,https://www.youtube.com/watch?v=b7wwoE2fAHg
NoiseGrasp YC Winter 2017 Application Video,https://www.youtube.com/watch?v=D3LGmio5lIU
MetaDoin (YC S22) Application Video,https://www.youtube.com/watch?v=zZuoMwSo5C4
Pace4Life's Y Combinator Video Application,https://www.youtube.com/watch?v=XySK0NkYGnI
Clear (YC W2015) application video,https://www.youtube.com/watch?v=I5xL6LzL_XY
Sumer Application Video for YC W22 (Selected for YC Interview!),https://www.youtube.com/watch?v=of1NyuLWiBI
Tumalow YC Summer 2019 Application,https://www.youtube.com/watch?v=lMkzNKpFrTc
Packs (YC W2022) Application Video,https://www.youtube.com/watch?v=Kwyd5jrm66E
Vblog 28: YCombinator Ladderr Application Winter 2015,https://www.youtube.com/watch?v=pNlObmyokMY
OpenPhone's YC Application Video for S18,https://www.youtube.com/watch?v=qzeIhmqZfuI
YCombinator Application Video,https://www.youtube.com/watch?v=2a56ZgA9rcY
Perch YC application - W24,https://www.youtube.com/watch?v=dpNrqJQoO-8
Up2Date | YC Spring2025 Application Video,https://www.youtube.com/watch?v=Wz1eZR8y3Wc
Baseline Co. YC (W23) Application Video,https://www.youtube.com/watch?v=9Av3jovDK5k
Futuure (Y Combinator S19) Application Video,https://www.youtube.com/watch?v=tr1wiPq3G0E
YC Application Video,https://www.youtube.com/watch?v=l-LNoCTP_8c
Cyder YC S2022 Application Video,https://www.youtube.com/watch?v=_mYNcpiRsSo
AmeliorMate YC Summer 2019 Application Video,https://www.youtube.com/watch?v=3yBBkBr71xA
CultureMe - YC Summer 2023 Application,https://www.youtube.com/watch?v=WBKXQPsmA4M
Licify YC Summer 2019 Application,https://www.youtube.com/watch?v=rF6o4z4Tw4I
YC - W2017 - Application video,https://www.youtube.com/watch?v=sjGypP78VOc
Alpha Vision (YC S2018) Application Video,https://www.youtube.com/watch?v=6-iVrukf-JA
Y Combinator S24 Application Video,https://www.youtube.com/watch?v=aDRWNORYocI
Affordable Equity YC W18 Application Video,https://www.youtube.com/watch?v=mqNH9N_dpXU
Quest (YC W23) Application Video,https://www.youtube.com/watch?v=pm7lX83WHcM
Streach (YC S18) Application video,https://www.youtube.com/watch?v=pLfWwo_Bdsk
Golfmate YC Summer 2020 Application Video,https://www.youtube.com/watch?v=p6Xb5RWgavc
Props | Y Combinator Summer 2015 Application,https://www.youtube.com/watch?v=bI3e5AS83lE
ycombinator winter 2016 application  CT FLARE,https://www.youtube.com/watch?v=A6SJ_mkWFSM
Hillside Hydro (YC S2017) Application Video,https://www.youtube.com/watch?v=d78scvcYOq0
Off The Record (YC W17) Application Video,https://www.youtube.com/watch?v=TDKUT7BfgxQ
Kater YC W24 Application (Accepted),https://www.youtube.com/watch?v=pmIEkxRreXU
YC Application Video - Puppyhangout (Olivia Shi),https://www.youtube.com/watch?v=jL-MBZPsPXE
Mach Capital YC Application Video S19,https://www.youtube.com/watch?v=SbIEHg7mscE
Mintlify (YC W22) Application Video,https://www.youtube.com/watch?v=OAhXFeENW3g
BODY — YC Summer '16 Application Video,https://www.youtube.com/watch?v=YYwx1UhcdPA
Toddly's Application Video for YC S24,https://www.youtube.com/watch?v=F1PpI_aBVo4
Token Transit YC Application Video W17,https://www.youtube.com/watch?v=-QfAHU3naks
BarNone LLC YC Application Video S2015,https://www.youtube.com/watch?v=qknBcaQuK9o
YC Winter 2020 FoodCoWorks Application video,https://www.youtube.com/watch?v=1mc14HSoSoE
1m Application Video to YC (Winter batch 2020),https://www.youtube.com/watch?v=lDpYdrBnWyA
Rivia YC (S23) Application Video,https://www.youtube.com/watch?v=9XdQV0mhksg
SyntaxAI Application Video for YC S23,https://www.youtube.com/watch?v=Yz2JPeLv0Pg
Sapien YC W20 application video - Update: we were invited to interview!,https://www.youtube.com/watch?v=iegcA3JdOqY
Beauty 911 YC Summer 2022 Application,https://www.youtube.com/watch?v=OgvI9VyiGIc
YC application video,https://www.youtube.com/watch?v=XDizLmOq7iQ
YC S15 Video Application,https://www.youtube.com/watch?v=CciBjoTaZIc
Grapes Y Combinator Summer 2021 Application video,https://www.youtube.com/watch?v=yGOv1z5pCLo
"ai-Wealth,  Y Combinator (YC W2019) Application Video",https://www.youtube.com/watch?v=FITsIT5xQA0
YC S21 Application Video,https://www.youtube.com/watch?v=Sj4s0jFE458
Alana YC Application Video - Summer Batch 2019,https://www.youtube.com/watch?v=DK2yymdS0hY
SpappCo (YC S22) Application Video,https://www.youtube.com/watch?v=D-cFNmapdZ8
BlueCargo YC S2018 Application Video,https://www.youtube.com/watch?v=urRTl1B8FRs
Singspiel (YC W2016) Application Video,https://www.youtube.com/watch?v=T41kZVz7D1M
Sendif Y Combinator YC W24 Application,https://www.youtube.com/watch?v=RdAAvfIs1W8
Umbrellas (YC S2017) Application Video,https://www.youtube.com/watch?v=Q6T4dIz-UGs
Opticli's Application video for YC W22,https://www.youtube.com/watch?v=O4I5Zfc-f00
Joluud YC application video,https://www.youtube.com/watch?v=7Ahmki9oGFE
YC Winter 2021 Application,https://www.youtube.com/watch?v=MszknUFHCDE
YC Winter 2019 Application Video,https://www.youtube.com/shorts/5n1KDuw37x8
YCombinator - Summer 2023 - Application video,https://www.youtube.com/watch?v=FrU4I_f7F0Y
Kurt YC F24 Application Video,https://www.youtube.com/watch?v=ev1Wpoxx5Gk
Original (YC W23) Application Video,https://www.youtube.com/watch?v=-lgjQXn85dg
Ycombinator Winter 2023 - TheSafeContract Application video,https://www.youtube.com/watch?v=0xcmUBlo-t4
In2Tech - YC W23 Application Video,https://www.youtube.com/watch?v=H1kk8KitfhA
YC F24 Application Video - CalmEmail AI,https://www.youtube.com/watch?v=hi3M4ChZPm8
YC S23 Application Video,https://www.youtube.com/watch?v=qnfd54viLEY
Boxscore Media (YC S17) Application Video,https://www.youtube.com/watch?v=0wlojdpL7XE
Andes STR (YC Summer 2021) Application,https://www.youtube.com/watch?v=evLpMSpeX9M
Cscade (YC S2016) Application Video,https://www.youtube.com/watch?v=kp08nUm6dIE
Testimonial (YC W22) Application Video,https://www.youtube.com/watch?v=DN4BQtgkLEk
Y-Combinator Application Video - 1min,https://www.youtube.com/watch?v=lY3hoi1eizM
Nalony's Application Video for YC W23,https://www.youtube.com/watch?v=PyD4mA8EKgM
Addmini (YC S2018) Application Video,https://www.youtube.com/watch?v=5jHvQDKSICM
Teespring (YC W2013) Application Video,https://www.youtube.com/watch?v=Ipf247AmhiI
Sploot Winter 2020 YC Application Video,https://www.youtube.com/watch?v=tniSZA70zT4
My Y Combinator Application Video that Got Us an Interview (in 2015),https://www.youtube.com/watch?v=kuLys6Wjp5U
Cleanly (YC W2023) Application Video,https://www.youtube.com/watch?v=BL9yhBOXbNU
TabikExpress - YC (W20) Application Video,https://www.youtube.com/watch?v=a1wsk4nMBao
inblog (YC S23) Application Video,https://www.youtube.com/watch?v=V7OxXL1mfRw
Immigrants Like Us YC S20 Application Video,https://www.youtube.com/watch?v=0zGAs1Qe1e8
Mys Tyler - Application to Y Combinator Winter 2021,https://www.youtube.com/watch?v=vsjDvX5dpus
Anaca (YC Winter 2020) Application Video,https://www.youtube.com/watch?v=txGB5pBCYv0
YC W24 Application Video (reached interview stage!),https://www.youtube.com/watch?v=yBnc8wl0A_g
FetchMi (YC S2018) Application Video,https://www.youtube.com/watch?v=wxyTupz3Kic
QBO Cabs - YC Application Video W2019,https://www.youtube.com/watch?v=waVjxb5B7xs
YC Winter 2020 Application Video,https://www.youtube.com/watch?v=0cHTAHMDydM
ListedB (YC W2024) Application Video,https://www.youtube.com/watch?v=oLiVmUlHNEg
YC Summer 2020 Application,https://www.youtube.com/watch?v=3BvUED-RgKo
Dedsimple - YC Winter 2018 Application,https://www.youtube.com/watch?v=1PNC1jH78p0
YC Application Summer 2019,https://www.youtube.com/watch?v=J46dOd3O-9M
id. (YC S2016) Application Video,https://www.youtube.com/watch?v=MLNIV_4GOnY
Merse (YC S24) Application Video [Accepted],https://www.youtube.com/watch?v=8UR4NMlxsDc
YC Application Summer 2023,https://www.youtube.com/watch?v=KlrTzn9nnVM
AutoMEP (for YC Winter 2020) Application Video,https://www.youtube.com/watch?v=qdBDyhNrbX8
Application to YC summer 2020,https://www.youtube.com/watch?v=gvl50kNKgSo
Y Combinator Winter 2013 Application Part 2 - Sri,https://www.youtube.com/watch?v=mWAjfFRC7cI
Dream Chaser Program (YC S21) Application Video,https://www.youtube.com/watch?v=2lLar-9m_4s
Swingo (YC 2019) Application Video,https://www.youtube.com/watch?v=7k8KtT0_7gU
Remembrall YC Application (W24) - Accepted,https://www.youtube.com/watch?v=VGXkghBFtL0
Airborne's Application Video for YC W22,https://www.youtube.com/watch?v=J6mKXaA0qrY
Canscr's Application Video for YC Winter 2023,https://www.youtube.com/watch?v=nfSmxEtq8Mc
Redkeep Clothing YC application Video W21,https://www.youtube.com/watch?v=IBSNYHYaP5Y
Hokart - Y Combinator Application Video (YC summer 2022),https://www.youtube.com/watch?v=qINbeTL-Ygw
Z Ski (YC W2022) Application Video,https://www.youtube.com/watch?v=TGKhpfSbM94
Midly Team YC summer 2022 application,https://www.youtube.com/watch?v=DUlXSNt7sVc
Y Combinator Application S18: Grubyr,https://www.youtube.com/watch?v=rijv7DGAyoo
Foodyours (YC S21) Application Video,https://www.youtube.com/watch?v=J9vLkvD3ctM
YC Summer 2017 - RiskBazaar application,https://www.youtube.com/watch?v=K6l2YO3Z7_Q
Sylus AI (YC W24) Application Video,https://www.youtube.com/watch?v=VHQj1FopZDs
YC Application Summer 2014 Verni,https://www.youtube.com/watch?v=VeQ7yfuEfek
YC Application Video GetWork for YC S20,https://www.youtube.com/watch?v=kSqhS6pLY_g
Mage (formerly Snapcardster) (YC W19) Application Video,https://www.youtube.com/watch?v=LC4i1OcAzzU
YC Summer 2021 Application,https://www.youtube.com/shorts/CrgEPZ_tkWE
Toastr YC Application Summer 2022,https://www.youtube.com/watch?v=GfH2WxW6tpY
YC 2013 Summer Application,https://www.youtube.com/watch?v=gppmU2mwxZA
YC application Video W21,https://www.youtube.com/watch?v=1z1lD-_CIm8
gloudio YC application video,https://www.youtube.com/watch?v=ypN1F1KxxWM
Litpen's YCombinator Application Video,https://www.youtube.com/watch?v=T1nB9XjYYG4
GrindIt's Application Video for YC S22,https://www.youtube.com/watch?v=vxE5gLADxGo
YC Summer 2017 application video,https://www.youtube.com/watch?v=2jy9MCd2lqE
YC Winter 2021 BBOOK Application Video,https://www.youtube.com/watch?v=iwp69z8vAVc
